school,county,school_new,county_new
ARCOLA LAKE ELEMENTARY SCHOOL,MIAMI-DADE,ARCOLA LAKE ELEMENTARY SCHOOL,MIAMI-DADE
ARGYLE ELEMENTARY SCHOOL,CLAY,ARGYLE ELEMENTARY SCHOOL,CLAY
ARK CHRISTIAN ACADEMY,ST. JOHNS,ARK CHRISTIAN ACADEMY,ST. JOHNS
ARLINGTON ELEMENTARY SCHOOL,DUVAL,ARLINGTON ELEMENTARY SCHOOL,DUVAL
ARLINGTON HEIGHTS ELEMENTARY SCHOOL,DUVAL,ARLINGTON HEIGHTS ELEMENTARY SCHOOL,DUVAL
ARLINGTON MIDDLE SCHOOL,DUVAL,ARLINGTON MIDDLE SCHOOL,DUVAL
ARMWOOD HIGH SCHOOL,HILLSBOROUGH,ARMWOOD HIGH SCHOOL,HILLSBOROUGH
ARNOLD HIGH SCHOOL,BAY,ARNOLD HIGH SCHOOL,BAY
ARROWHEAD NURSERY KINDERGARTEN,MIAMI-DADE,ARROWHEAD NURSERY KINDERGARTEN,MIAMI-DADE
ART INSTITUTE OF TAMPA- A BRANCH OF MIAMI INTERNATION,HILLSBOROUGH,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,HILLSBOROUGH
ART INSTITUTE OF TAMPA- A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN,HILLSBOROUGH,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,HILLSBOROUGH
ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATION,HILLSBOROUGH,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,HILLSBOROUGH
ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONA,HILLSBOROUGH,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,HILLSBOROUGH
ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL,HILLSBOROUGH,ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,HILLSBOROUGH
ARTHUR & POLLY CONSERVATORY,UNKNOWN,ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS,MIAMI-DADE
ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS,MIAMI-DADE,ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS,MIAMI-DADE
ARTHUR I MEYER JEWISH ACADEMY,PALM BEACH,ARTHUR I MEYER JEWISH ACADEMY,PALM BEACH
ARTISTIC NAILS & BEAUTY ACADEMY,UNKNOWN,ARTISTIC NAILS & BEAUTY ACADEMY,HILLSBOROUGH
ARTS THERE AFTER CHRISTIAN SCHOOL,OSCEOLA,ARTS THERE AFTER CHRISTIAN SCHOOL,OSCEOLA
ARVIDA MIDDLE SCHOOL,MIAMI-DADE,ARVIDA MIDDLE SCHOOL,MIAMI-DADE
ASA COLLEGE,MIAMI-DADE,ASA COLLEGE,MIAMI-DADE
ASBURY CHRISTIAN SCHOOL,MIAMI-DADE,ASBURY CHRISTIAN SCHOOL,MIAMI-DADE
ASBURY THEOLOGICAL SEMINARY SCHOOL,UNKNOWN,ASBURY CHRISTIAN SCHOOL,MIAMI-DADE
ASCEND CAREER ACADEMY,BROWARD,ASCEND CAREER ACADEMY,BROWARD
ASCENSION CATHOLIC SCHOOL,BREVARD,ASCENSION CATHOLIC SCHOOL,BREVARD
ASHTON ELEMENTARY SCHOOL,SARASOTA,ASHTON ELEMENTARY SCHOOL,SARASOTA
ASSISTANT TEACHER / LEARNING LINKS SCHOOL,UNKNOWN,LEARNING LINKS SCHOOL HOUSE,MIAMI-DADE
ASSUMPTION CATHOLIC SCHOOL,DUVAL,ASSUMPTION CATHOLIC SCHOOL,DUVAL
ASTATULA ELEMENTARY SCHOOL,LAKE,ASTATULA ELEMENTARY SCHOOL,LAKE
ASTORIA PARK ELEMENTARY SCHOOL,LEON,ASTORIA PARK ELEMENTARY SCHOOL,LEON
ASTRONAUT HIGH SCHOOL,BREVARD,ASTRONAUT HIGH SCHOOL,BREVARD
ATA CAREER EDUCATION - FLORIDA,HERNANDO,ATA CAREER EDUCATION - FLORIDA,HERNANDO
ATA CAREER EDUCATION-FLORIDA,HERNANDO,ATA CAREER EDUCATION - FLORIDA,HERNANDO
ATALA MONTESSORI SCHOOL,MIAMI-DADE,ATALA MONTESSORI SCHOOL,MIAMI-DADE
ATHENIAN ACADEMY,PINELLAS,ATHENIAN ACADEMY,PINELLAS
ATHENIAN ACADEMY CHARTER SCHOOL,LEE,ATHENIAN ACADEMY CHARTER SCHOOL,LEE
ATHENIAN ACADEMY OF TECHNOLOGY AND THE ARTS,PASCO,ATHENIAN ACADEMY OF TECHNOLOGY AND THE ARTS,PASCO
ATLANTIC BEACH ELEMENTARY SCHOOL,DUVAL,ATLANTIC BEACH ELEMENTARY SCHOOL,DUVAL
ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEAC,PALM BEACH,ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEACH,PALM BEACH
ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEACH,PALM BEACH,ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEACH,PALM BEACH
ATLANTIC COAST HIGH SCHOOL,DUVAL,ATLANTIC COAST HIGH SCHOOL,DUVAL
ATLANTIC HIGH ADULT EDUCATION CENTER,PALM BEACH,ATLANTIC HIGH ADULT EDUCATION CENTER,PALM BEACH
ATLANTIC HIGH SCHOOL,PALM BEACH,ATLANTIC HIGH SCHOOL,PALM BEACH
ATLANTIC HIGH SCHOOL,VOLUSIA,ATLANTIC HIGH SCHOOL,VOLUSIA
ATLANTIC INTERNATIONAL UNIVERSITY,UNKNOWN,,
ATLANTIC MONTESSORI CHARTER SCHOOL,BROWARD,ATLANTIC MONTESSORI CHARTER SCHOOL,BROWARD
ATLANTIC MONTESSORI CHARTER SCHOOL WEST CAMPUS,BROWARD,ATLANTIC MONTESSORI CHARTER SCHOOL,BROWARD
ATLANTIC TECHNICAL COLLEGE,BROWARD,ATLANTIC TECHNICAL COLLEGE,BROWARD
"ATLANTIC TECHNICAL COLLEGE - ARTHUR ASHE, JR. CAMPUS",BROWARD,ATLANTIC TECHNICAL COLLEGE,BROWARD
ATLANTIC WEST ELEMENTARY SCHOOL,BROWARD,ATLANTIC WEST ELEMENTARY SCHOOL,BROWARD
ATLANTIS ACADEMY,BROWARD,ATLANTIS ACADEMY,BROWARD
ATLANTIS ACADEMY,MIAMI-DADE,ATLANTIS ACADEMY,MIAMI-DADE
ATLANTIS ACADEMY,PALM BEACH,ATLANTIS ACADEMY,PALM BEACH
ATLANTIS ACADEMY 2,MIAMI-DADE,ATLANTIS ACADEMY,MIAMI-DADE
ATLANTIS ELEMENTARY SCHOOL,BREVARD,ATLANTIS ELEMENTARY SCHOOL,BREVARD
ATLANTIS UNIVERSITY,MIAMI-DADE,ATLANTIS UNIVERSITY,MIAMI-DADE
ATTUCKS MIDDLE SCHOOL,BROWARD,ATTUCKS MIDDLE SCHOOL,BROWARD
ATWATER ELEMENTARY,SARASOTA,ATWATER ELEMENTARY SCHOOL,SARASOTA
AUBURN UNIVERSITY,UNKNOWN,,
AUBURNDALE CENTRAL ELEMENTARY SCHOOL,POLK,AUBURNDALE CENTRAL ELEMENTARY SCHOOL,POLK
AUBURNDALE ELEMENTARY SCHOOL,MIAMI-DADE,AUBURNDALE ELEMENTARY SCHOOL,MIAMI-DADE
AUBURNDALE SENIOR HIGH SCHOOL,POLK,AUBURNDALE SENIOR HIGH SCHOOL,POLK
AUCILLA CHRISTIAN ACADEMY INC.,JEFFERSON,AUCILLA CHRISTIAN ACADEMY INC.,JEFFERSON
AUDUBON ELEMENTARY SCHOOL,BREVARD,AUDUBON ELEMENTARY SCHOOL,BREVARD
AUDUBON PARK SCHOOL,ORANGE,AUDUBON PARK SCHOOL,ORANGE
AUTISM INSPIRED ACADEMY,PINELLAS,AUTISM INSPIRED ACADEMY,PINELLAS
AUTISM SCHOOL FOR LEARNING,UNKNOWN,AUTISM SCHOOL FOR LEARNING,UNKNOWN
AVALON ELEMENTARY,ORANGE,AVALON ELEMENTARY SCHOOL,ORANGE
AVALON ELEMENTARY SCHOOL,COLLIER,AVALON ELEMENTARY SCHOOL,COLLIER
AVALON MIDDLE,ORANGE,AVALON MIDDLE SCHOOL,ORANGE
AVALON MIDDLE SCHOOL,SANTA ROSA,AVALON MIDDLE SCHOOL,SANTA ROSA
AVALON SCHOOL INC.,ORANGE,,
AVANT GARDE ACADEMY BROWARD,UNKNOWN,AVANT GARDE ACADEMY OF BROWARD,BROWARD
AVANT GARDE ACADEMY K-5 BROWARD,BROWARD,AVANT GARDE ACADEMY OF BROWARD,BROWARD
AVANT GARDE ACADEMY OF BROWARD,BROWARD,AVANT GARDE ACADEMY OF BROWARD,BROWARD
AVANT SCHOOL OF EXCELLENCE,MIAMI-DADE,AVANT SCHOOL OF EXCELLENCE,MIAMI-DADE
AVE MARIA UNIVERSITY,COLLIER,AVE MARIA UNIVERSITY,COLLIER
AVE MARIA UNIVERSITY PREPARATORY SCHOOL INC,MANATEE,AVE MARIA UNIVERSITY PREPARATORY SCHOOL INC,MANATEE
AVE MARIA UNIVESTITY,COLLIER,AVE MARIA UNIVERSITY,COLLIER
AVEDA INSTITUTE,BROWARD,AVEDA INSTITUTE,BROWARD
AVEDA INSTITUTE,UNKNOWN,AVEDA INSTITUTE,BROWARD
AVEDA INSTITUTE - BRANDON,HILLSBOROUGH,AVEDA INSTITUTE - BRANDON,HILLSBOROUGH
AVEDA INSTITUTE - TALLAHASSEE,LEON,AVEDA INSTITUTE - TALLAHASSEE,LEON
AVEDA INSTITUTE DAVIE,BROWARD,AVEDA INSTITUTE DAVIE,BROWARD
AVEDA INSTITUTE-TALLAHASSEE,LEON,AVEDA INSTITUTE - TALLAHASSEE,LEON
AVENTURA CITY OF EXCELLENCE SCHOOL,MIAMI-DADE,AVENTURA CITY OF EXCELLENCE SCHOOL,MIAMI-DADE
AVENTURA CITY OF EXCELLENT,UNKNOWN,AVENTURA CITY OF EXCELLENCE SCHOOL,MIAMI-DADE
AVENTURA LEARNING CENTER,MIAMI-DADE,AVENTURA LEARNING CENTER,MIAMI-DADE
AVENTURA WATERWAYS K-8 CENTER,MIAMI-DADE,AVENTURA WATERWAYS K-8 CENTER,MIAMI-DADE
AVIATION INSTITUTE OF MAINTENANC,UNKNOWN,AVIATION INSTITUTE OF MAINTENANCE,SEMINOLE
AVIATION INSTITUTE OF MAINTENANCE,SEMINOLE,AVIATION INSTITUTE OF MAINTENANCE,SEMINOLE
AVIATOR COLLEGE,ST. LUCIE,AVIATOR COLLEGE,ST. LUCIE
AVOCADO ELEMENTARY SCHOOL,MIAMI-DADE,AVOCADO ELEMENTARY SCHOOL,MIAMI-DADE
AVON ELEMENTARY SCHOOL,HIGHLANDS,AVON ELEMENTARY SCHOOL,HIGHLANDS
AVON PARK HIGH SCHOOL,HIGHLANDS,AVON PARK HIGH SCHOOL,HIGHLANDS
AVON PARK HIGH SCHOOL,UNKNOWN,AVON PARK HIGH SCHOOL,HIGHLANDS
AVON PARK MIDDLE SCHOOL,HIGHLANDS,AVON PARK MIDDLE SCHOOL,HIGHLANDS
AZALEA ELEMENTARY SCHOOL,PINELLAS,AZALEA ELEMENTARY SCHOOL,PINELLAS
AZALEA MIDDLE SCHOOL,PINELLAS,AZALEA MIDDLE SCHOOL,PINELLAS
AZALEA PARK BAPTIST SCHOOL,ORANGE,AZALEA PARK BAPTIST SCHOOL,ORANGE
AZALEA PARK ELEMENTARY,ORANGE,AZALEA PARK ELEMENTARY SCHOOL,ORANGE
AZALEA PARK LEARNING CENTER,ORANGE,AZALEA PARK LEARNING CENTER,ORANGE
B.D. GULLETT ELEMENTARY SCHOOL,MANATEE,B.D. GULLETT ELEMENTARY SCHOOL,MANATEE
B.WRIGHT LEADERSHIP ACADEMY,MIAMI-DADE,B.WRIGHT LEADERSHIP ACADEMY,MIAMI-DADE
BABCOCK NEIGHBORHOOD SCHOOL,CHARLOTTE,BABCOCK NEIGHBORHOOD SCHOOL,CHARLOTTE
BABSON COLLEGE MIAMI,MIAMI-DADE,BABSON COLLEGE MIAMI CAMPUS,MIAMI-DADE
BABSON COLLEGE MIAMI CAMPUS,MIAMI-DADE,BABSON COLLEGE MIAMI CAMPUS,MIAMI-DADE
BABSON COLLEGE-MIAMI,MIAMI-DADE,BABSON COLLEGE MIAMI CAMPUS,MIAMI-DADE
BAGDAD ELEMENTARY SCHOOL,SANTA ROSA,BAGDAD ELEMENTARY SCHOOL,SANTA ROSA
BAILEY ELEMENTARY SCHOOL,HILLSBOROUGH,BAILEY ELEMENTARY SCHOOL,HILLSBOROUGH
BAINBRIDGE ACADEMY,SEMINOLE,BAINBRIDGE ACADEMY,SEMINOLE
BAIR MIDDLE SCHOOL,BROWARD,BAIR MIDDLE SCHOOL,BROWARD
BAK MIDDLE SCHOOL OF THE ARTS,PALM BEACH,BAK MIDDLE SCHOOL OF THE ARTS,PALM BEACH
BAKER COUNTY HIGH SCHOOL,BAKER,BAKER COUNTY HIGH SCHOOL,BAKER
BAKER COUNTY MIDDLE SCHOOL,BAKER,BAKER COUNTY MIDDLE SCHOOL,BAKER
BAKER COUNTY SENIOR HIGH SCHOOL,BAKER,BAKER COUNTY SENIOR HIGH SCHOOL,BAKER
BAKER DISTRICT OFFICE,BAKER,BAKER DISTRICT OFFICE,BAKER
BAKER SCHOOL,OKALOOSA,BAKER SCHOOL,OKALOOSA
BAKER/HEAD START,CHARLOTTE,BAKER/HEAD START,CHARLOTTE
BALDWIN ACADEMY PREPARATORY SCHOOL II,BROWARD,BALDWIN ACADEMY PREPARATORY SCHOOL II,BROWARD
BALDWIN MIDDLE-SENIOR HIGH SCHOOL,DUVAL,BALDWIN MIDDLE-SENIOR HIGH SCHOOL,DUVAL
BALDWIN PARK ELEMENTARY,ORANGE,BALDWIN PARK ELEMENTARY SCHOOL,ORANGE
BALDWIN PREP SCHOOL,PALM BEACH,BALDWIN PREP SCHOOL,PALM BEACH
BALLARD ELEMENTARY SCHOOL,MANATEE,BALLARD ELEMENTARY SCHOOL,MANATEE
BALLAST POINT ELEMENTARY SCHOOL,HILLSBOROUGH,BALLAST POINT ELEMENTARY SCHOOL,HILLSBOROUGH
BANYAN CREEK ELEMENTARY SCHOOL,PALM BEACH,BANYAN CREEK ELEMENTARY SCHOOL,PALM BEACH
BANYAN ELEMENTARY SCHOOL,BROWARD,BANYAN ELEMENTARY SCHOOL,BROWARD
BANYAN ELEMENTARY SCHOOL,MIAMI-DADE,BANYAN ELEMENTARY SCHOOL,MIAMI-DADE
BAPTIST EARLY LEARNING CENTER,UNKNOWN,BAPTIST EARLY LEARNING CENTER,MIAMI-DADE
BARBARA A HARVEY ELEMENTARY SCHOOL,MANATEE,BARBARA A HARVEY ELEMENTARY SCHOOL,MANATEE
BARBARA GOLEMAN SENIOR HIGH,MIAMI-DADE,BARBARA GOLEMAN SENIOR HIGH,MIAMI-DADE
BARBARA HAWKINS ELEMENTARY SCHOOL,MIAMI-DADE,BARBARA HAWKINS ELEMENTARY SCHOOL,MIAMI-DADE
BARDMOOR ELEMENTARY SCHOOL,PINELLAS,BARDMOOR ELEMENTARY SCHOOL,PINELLAS
BARDMOOR YMCA PRESCHOOL ACADEMY,PINELLAS,BARDMOOR YMCA PRESCHOOL ACADEMY,PINELLAS
BARRINGTON MIDDLE SCHOOL,HILLSBOROUGH,BARRINGTON MIDDLE SCHOOL,HILLSBOROUGH
BARRON COLLIER HIGH SCHOOL,COLLIER,BARRON COLLIER HIGH SCHOOL,COLLIER
BARRY UNIVERSITY,MIAMI-DADE,BARRY UNIVERSITY,MIAMI-DADE
BARTON ELEMENTARY SCHOOL,PALM BEACH,BARTON ELEMENTARY SCHOOL,PALM BEACH
BARTOW ELEMENTARY ACADEMY,POLK,BARTOW ELEMENTARY SCHOOL ACADEMY,POLK
BARTOW MIDDLE SCHOOL,POLK,BARTOW MIDDLE SCHOOL,POLK
BARTOW SENIOR HIGH SCHOOL,POLK,BARTOW SENIOR HIGH SCHOOL,POLK
BARTRAM SPRINGS ELEMENTARY,DUVAL,BARTRAM SPRINGS ELEMENTARY SCHOOL,DUVAL
BARTRAM SPRINGS ELEMENTARY - 1ST GRADE,DUVAL,BARTRAM SPRINGS ELEMENTARY SCHOOL,DUVAL
BARTRAM TRAIL HIGH SCHOOL,ST. JOHNS,BARTRAM TRAIL HIGH SCHOOL,ST. JOHNS
BAUDER ELEMENTARY SCHOOL,PINELLAS,BAUDER ELEMENTARY SCHOOL,PINELLAS
BAUDHUIN ORAL SCHOOL-NOVA UNIVERSITY,BROWARD,BAUDHUIN ORAL SCHOOL-NOVA UNIVERSITY,BROWARD
BAY CREST ELEMENTARY SCHOOL,HILLSBOROUGH,BAY CREST ELEMENTARY SCHOOL,HILLSBOROUGH
BAY DISTRICT OFFICE,BAY,BAY DISTRICT OFFICE,BAY
BAY HAVEN CHARTER ACADEMY,BAY,BAY HAVEN CHARTER ACADEMY,BAY
BAY HAVEN CHARTER MIDDLE SCHOOL,BAY,BAY HAVEN CHARTER MIDDLE SCHOOL,BAY
BAY HAVEN SCHOOL OF BASICS PLUS,SARASOTA,BAY HAVEN SCHOOL OF BASICS PLUS,SARASOTA
BAY HIGH SCHOOL,BAY,BAY HIGH SCHOOL,BAY
BAY LAKE ELEMENTARY,ORANGE,BAY LAKE ELEMENTARY SCHOOL,ORANGE
BAY MEADOWS ELEMENTARY,ORANGE,BAY MEADOWS ELEMENTARY SCHOOL,ORANGE
BAY PINES LUTHERAN SCHOOL,PINELLAS,BAY PINES LUTHERAN SCHOOL,PINELLAS
BAY POINT ELEMENTARY SCHOOL,PINELLAS,BAY POINT ELEMENTARY SCHOOL,PINELLAS
BAY POINT MIDDLE SCHOOL,PINELLAS,BAY POINT MIDDLE SCHOOL,PINELLAS
BAY SCHOOL,WALTON,BAY SCHOOL,WALTON
BAY VISTA FUNDAMENTAL ELEMENTARY SCHOOL,PINELLAS,BAY VISTA FUNDAMENTAL ELEMENTARY SCHOOL,PINELLAS
BAYAAN ACADEMY TEMPLE TERRACE,HILLSBOROUGH,BAYAAN ACADEMY TEMPLE TERRACE,HILLSBOROUGH
BAYCREST ACADEMY FOR CREATIVE LEARNING,HILLSBOROUGH,BAYCREST ACADEMY FOR CREATIVE LEARNING,HILLSBOROUGH
BAYMEADOWS BAPTIST DAY SCHOOL,DUVAL,BAYMEADOWS BAPTIST DAY SCHOOL,DUVAL
BAYONET POINT MIDDLE SCHOOL,PASCO,BAYONET POINT MIDDLE SCHOOL,PASCO
BAYSHORE CHRISTIAN SCHOOL,HILLSBOROUGH,BAYSHORE CHRISTIAN SCHOOL,HILLSBOROUGH
BAYSHORE ELEMENTARY SCHOOL,LEE,BAYSHORE ELEMENTARY SCHOOL,LEE
BAYSHORE ELEMENTARY SCHOOL,MANATEE,BAYSHORE ELEMENTARY SCHOOL,MANATEE
BAYSHORE ELEMENTARY SCHOOL,ST. LUCIE,BAYSHORE ELEMENTARY SCHOOL,ST. LUCIE
BAYSHORE HIGH SCHOOL,MANATEE,BAYSHORE HIGH SCHOOL,MANATEE
BAYSIDE HIGH SCHOOL,BREVARD,BAYSIDE HIGH SCHOOL,BREVARD
BAYSIDE HIGH SCHOOL,PINELLAS,BAYSIDE HIGH SCHOOL,PINELLAS
BAYVIEW ELEMENTARY SCHOOL,BROWARD,BAYVIEW ELEMENTARY SCHOOL,BROWARD
BAYVIEW ELEMENTARY SCHOOL,DUVAL,BAYVIEW ELEMENTARY SCHOOL,DUVAL
BB C CHRISTIAN ACADEMY,ESCAMBIA,BB C CHRISTIAN ACADEMY,ESCAMBIA
BB INTERNATIONAL PRESCHOOL AND KINDERGARTEN,BROWARD,BB INTERNATIONAL PRESCHOOL AND KINDERGARTEN,BROWARD
BEACHES CHAPEL SCHOOL,DUVAL,BEACHES CHAPEL SCHOOL,DUVAL
BEACHLAND ELEMENTARY SCHOOL,INDIAN RIVER,BEACHLAND ELEMENTARY SCHOOL,INDIAN RIVER
BEACHSIDE MONTESSORI VILLAGE,BROWARD,BEACHSIDE MONTESSORI VILLAGE,BROWARD
BEACON COLLEGE,LAKE,BEACON COLLEGE,LAKE
BEACON COLLEGE PREP MIDDLE SCHOOL,MIAMI-DADE,BEACON COLLEGE PREPARATORY,MIAMI-DADE
BEACON COLLEGE PREPARATORY,MIAMI-DADE,BEACON COLLEGE PREPARATORY,MIAMI-DADE
BEACON COVE INTERMEDIATE SCHOOL,PALM BEACH,BEACON COVE INTERMEDIATE SCHOOL,PALM BEACH
BEACON H.S.,COLLIER,BEACON HIGH SCHOOL,COLLIER
BEACON HIGH SCHOOL,COLLIER,BEACON HIGH SCHOOL,COLLIER
BEACON HILL CENTER INC.,MIAMI-DADE,BEACON HILL CENTER INC.,MIAMI-DADE
BEACON HILL PREPARATORY ACADEMY,MIAMI-DADE,BEACON HILL PREPARATORY ACADEMY,MIAMI-DADE
BEACON HILL SCHOOL INC,BROWARD,BEACON HILL SCHOOL INC,BROWARD
BEACON OF HOPE CHRISTIAN SCHOOL,ST. JOHNS,BEACON OF HOPE CHRISTIAN SCHOOL,ST. JOHNS
BEAR CREEK ELEMENTARY SCHOOL,PINELLAS,BEAR CREEK ELEMENTARY SCHOOL,PINELLAS
BEAR LAKE ELEMENTARY SCHOOL,SEMINOLE,BEAR LAKE ELEMENTARY SCHOOL,SEMINOLE
BEAR LAKE MONTESSORI ACADEMY,SEMINOLE,BEAR LAKE MONTESSORI ACADEMY,SEMINOLE
BEAR LAKES MIDDLE SCHOOL,PALM BEACH,BEAR LAKES MIDDLE SCHOOL,PALM BEACH
BEAUCLERC ELEMENTARY SCHOOL,DUVAL,BEAUCLERC ELEMENTARY SCHOOL,DUVAL
BEIS-CHANA HIGH SCHOOL,MIAMI-DADE,BEIS-CHANA HIGH SCHOOL,MIAMI-DADE
BEL-AIRE ELEMENTARY SCHOOL,MIAMI-DADE,BEL-AIRE ELEMENTARY SCHOOL,MIAMI-DADE
BELCHER ELEMENTARY SCHOOL,PINELLAS,BELCHER ELEMENTARY SCHOOL,PINELLAS
BELEN,UNKNOWN,BELEN JESUIT PREPARATORY SCHOOL,MIAMI-DADE
BELEN JESUIT PREPARATORY SCHOOL,MIAMI-DADE,BELEN JESUIT PREPARATORY SCHOOL,MIAMI-DADE
BELIEVERS ACADEMY,PALM BEACH,BELIEVERS ACADEMY,PALM BEACH
BELL CREEK ACADEMY,HILLSBOROUGH,BELL CREEK ACADEMY,HILLSBOROUGH
BELL CREEK ACADEMY HIGH SCHOOL,HILLSBOROUGH,,
BELL ELEMENTARY SCHOOL,GILCHRIST,BELL ELEMENTARY SCHOOL,GILCHRIST
BELL HIGH SCHOOL,GILCHRIST,BELL HIGH SCHOOL,GILCHRIST
BELL SHOALS BAPTIST ACADEMY,HILLSBOROUGH,BELL SHOALS BAPTIST ACADEMY,HILLSBOROUGH
BELLALAGO CHARTER ACADEMY,OSCEOLA,BELLALAGO CHARTER ACADEMY,OSCEOLA
BELLAMY ELEMENTARY SCHOOL,HILLSBOROUGH,BELLAMY ELEMENTARY SCHOOL,HILLSBOROUGH
BELLASA PROFESSIONAL INSTITUTE,MIAMI-DADE,BELLASA PROFESSIONAL INSTITUTE,MIAMI-DADE
BELLE GLADE CHRISTIAN ACADEMY,PALM BEACH,BELLE GLADE CHRISTIAN ACADEMY,PALM BEACH
BELLE GLADE ELEMENTARY SCHOOL,PALM BEACH,BELLE GLADE ELEMENTARY SCHOOL,PALM BEACH
BELLE TERRE ELEMENTARY SCHOOL,FLAGLER,BELLE TERRE ELEMENTARY SCHOOL,FLAGLER
BELLEAIR ELEMENTARY SCHOOL,PINELLAS,BELLEAIR ELEMENTARY SCHOOL,PINELLAS
BELLEVIEW CHRISTIAN ACADEMY,MARION,BELLEVIEW CHRISTIAN ACADEMY,MARION
BELLEVIEW ELEMENTARY SCHOOL,MARION,BELLEVIEW ELEMENTARY SCHOOL,MARION
BELLEVIEW HIGH SCHOOL,MARION,BELLEVIEW HIGH SCHOOL,MARION
BELLEVIEW MIDDLE SCHOOL,MARION,BELLEVIEW MIDDLE SCHOOL,MARION
BELLEVIEW-SANTOS ELEMENTARY SCHOOL,MARION,BELLEVIEW-SANTOS ELEMENTARY SCHOOL,MARION
BELLVIEW ELEMENTARY SCHOOL,ESCAMBIA,BELLVIEW ELEMENTARY SCHOOL,ESCAMBIA
BELLVIEW MIDDLE SCHOOL,ESCAMBIA,BELLVIEW MIDDLE SCHOOL,ESCAMBIA
BELMONT ACADEMY,COLUMBIA,BELMONT ACADEMY,COLUMBIA
BELMONT ELEMENTARY SCHOOL,HILLSBOROUGH,BELMONT ELEMENTARY SCHOOL,HILLSBOROUGH
BELVEDERE ELEMENTARY SCHOOL,PALM BEACH,BELVEDERE ELEMENTARY SCHOOL,PALM BEACH
BEN GAMLA CHARTER SCHOOL,BROWARD,BEN GAMLA CHARTER SCHOOL,BROWARD
BEN GAMLA CHARTER SCHOOL,MIAMI-DADE,BEN GAMLA CHARTER SCHOOL,MIAMI-DADE
BEN GAMLA CHARTER SCHOOL NORTH CAMPUS,BROWARD,BEN GAMLA CHARTER SCHOOL NORTH CAMPUS,BROWARD
BEN GAMLA CHARTER SCHOOL SOUTH BROWARD,BROWARD,BEN GAMLA CHARTER SCHOOL SOUTH BROWARD,BROWARD
BEN GAMLA PREPARATORY ACADEMY,BROWARD,BEN GAMLA PREPARATORY ACADEMY,BROWARD
BEN GAMLA-PALM BEACH,PALM BEACH,BEN GAMLA-PALM BEACH,PALM BEACH
BEN HILL GRIFFIN JR ELEMENTARY SCHOOL,POLK,BEN HILL GRIFFIN JR ELEMENTARY SCHOOL,POLK
BEN HILL MIDDLE SCHOOL,UNKNOWN,BEN HILL MIDDLE SCHOOL,HILLSBOROUGH
BEN SHEPPARD ELEMENTARY SCHOOL,MIAMI-DADE,BEN SHEPPARD ELEMENTARY SCHOOL,MIAMI-DADE
BENE'S CAREER ACADEMY,PASCO,BENE'S CAREER ACADEMY,PASCO
BENEVA LAKE HEALTHCARE,UNKNOWN,BENEVA LAKE HEALTHCARE,SARASOTA
BENGAMLA,UNKNOWN,BEN GAMLA CHARTER SCHOOL,BROWARD
BENITO MIDDLE SCHOOL,HILLSBOROUGH,BENITO MIDDLE SCHOOL,HILLSBOROUGH
BENJAMIN FRANKLIN K-8 CENTER,MIAMI-DADE,BENJAMIN FRANKLIN K-8 CENTER,MIAMI-DADE
BENNETT C RUSSELL ELEMENTARY SCHOOL,SANTA ROSA,BENNETT C RUSSELL ELEMENTARY SCHOOL,SANTA ROSA
BENNETT ELEMENTARY SCHOOL,BROWARD,BENNETT ELEMENTARY SCHOOL,BROWARD
BENOIST FARMS ELEMENTARY SCHOOL,PALM BEACH,BENOIST FARMS ELEMENTARY SCHOOL,PALM BEACH
BENT TREE ELEMENTARY SCHOOL,MIAMI-DADE,BENT TREE ELEMENTARY SCHOOL,MIAMI-DADE
BENTLEY ELEMENTARY SCHOOL,SEMINOLE,BENTLEY ELEMENTARY SCHOOL,SEMINOLE
BEREAN CHRISTIAN SCHOOL,PALM BEACH,BEREAN CHRISTIAN SCHOOL,PALM BEACH
BERKELEY PREPARATORY SCHOOL,HILLSBOROUGH,BERKELEY PREPARATORY SCHOOL,HILLSBOROUGH
BERKLEY ACCELERATED MIDDLE SCHOOL,POLK,BERKLEY ACCELERATED MIDDLE SCHOOL,POLK
