County,School Name,School Address,City,School Grades,num_cases,affecting_who,date
Missaukee,McBain High School,107 E Maple St,McBain,Administrative,2,Staff,2021-02-22
Missaukee,McBain High School,107 E Maple St.,McBain,High school,6,Both,2021-03-22
Barry,McFall Elementary,509 W Main St,Middleville,Pre-school - elementary,2,Students,2020-11-09
Missaukee,Mcbain Public Schooll,107 E Maple,McBain,Administrative,2,Staff,2020-11-16
Mecosta/Osceola,Mecosta-Osceola ISD,15760 190th Ave,Big Rapids,Administrative,5,Both,2021-01-25
St. Joseph,Mendon School,306 Lane St.,Mendon,High school,3,Students,2021-03-29
Menominee,Menominee Jr/Sr High School,2101 18th Street,Menominee,High school,3,Both,2020-11-02
Midland,Meridian Junior High School,3475 N. Meridian Rd,Sanford,Junior high/middle school,2,Students,2021-03-01
Ingham,Messiah Child Development Center,5740 Holt Rd,Holt,Pre-school - elementary,3,Students,2020-11-09
Wayne,Metro Charter Academy,34800 Ecorse Rd,Romulus,Pre-school - elementary,3,Staff,2020-10-12
Macomb,Miami Elementary School,41290 Kentvale,Clinton Township,Pre-school - elementary,2,Staff,2020-10-12
Isabella,Montabella,1324 N County Line Rd,Blanchard,High school,5,Students,2021-04-05
Isabella,Montabella Elem,1456 North County Line Rd,Blanchard,Pre-school - elementary,2,Both,2020-11-23
Montcalm,Montcalm Area ISD,621 New St,Stanton,High school,4,Staff,2020-10-05
Wayne,Moraine Elementary School,46811 8 Mile Rd,Northville,Pre-school - elementary,2,Both,2020-12-14
Lenawee,Morenci Schools,788 Coomer St,Morenci,High school,6,Students,2020-11-16
Lenawee,Morenci Schools,788 E. Coomer St.,Morenci,High school,5,Students,2021-04-05
Mecosta,Morley Stanwood School,4700 Northland Dr.,Morley,Pre-school - elementary,3,Both,2020-10-19
Shiawassee,Morrice High School,691 Purdy Lane,Morrice,High school,3,Both,2021-03-15
Macomb,Mound Park Elementary,5356 Toepfer Rd,Warren,Pre-school - elementary,2,Staff,2020-11-02
Macomb,Mount Clemens Middle School,161 Cass Ave,Mount Clemens,Junior high/middle school,2,Both,2020-10-26
Detroit City,Mumford High School,17525 Wyoming Ave,Detroit City,Administrative,4,Staff,2020-12-14
Wayne,Munger,5525 Martin Street,Detroit,Administrative,5,Staff,2020-11-09
Alger,Munising Public Schools,810 E. State Hwy M28,Munising,Pre-school - elementary,2,Staff,2020-10-12
Macomb,Naldrett Elementary,47800 Sugarbush Rd,New Baltimore,Pre-school - elementary,2,Students,2021-04-05
Jackson,Napoleon High School,201 West St,Napoleon,High school,2,Students,2021-02-01
Livingston,Navigator Elementary School,2150 M-36,Pinckney,High school,2,Students,2021-03-15
Marquette,Negaunee,500 W Arch Street,Negaunee,High school,2,Students,2020-11-02
Marquette,Negaunee Middle School,102 W Case,Negaunee,Junior high/middle school,2,Students,2020-10-26
Ottawa,New Groningen Elementary School,10542 Chicago Dr,Zeeland,Pre-school - elementary,2,Both,2021-02-01
Ottawa,New Groningen Elementary School,10542 Chicago Dr,Zeeland,Pre-school - elementary,4,Both,2021-03-08
Macomb,New Haven High School,57700 Gratiot Ave,New Haven,High school,2,Students,2021-03-29
St Clair,New Life Christian Acadamy,5515 Griswold Rd,Kimball,High school,2,Students,2021-03-22
Shiawassee,New Lothrop High School,9285 Easton Rd.,New Lothrop,High school,4,Students,2021-03-08
Kalamazoo,New Wonders Preschool,,Kalamazoo,Pre-school - elementary,6,Both,2021-01-04
Newaygo,Newaygo Public Schools,68 East St,Newaygo,High school,6,Students,2020-10-05
Berrien,Niles High School,1441 Eagle Street,Niles,High school,2,Students,2021-02-08
Berrien,Niles High School,1441 Eagle Strees,Niles,High school,4,Students,2021-03-15
Hillsdale,North Adams Jerome,4555 Knowles Rd,North Adams,Pre-school - elementary,3,Both,2021-03-29
Lapeer,North Branch High School,6598 Brush St,North Branch,High school,5,Both,2020-11-23
Menominee,North Central Area Schools,W3795 US2 & 41,Powers,High school,2,Students,2020-10-19
Oakland,North Farmington Highschool,32900 W 13 Mile Rd,Farmington Hills,High school,3,Staff,2020-11-30
Huron,North Huron School,21 Main St,Kinde,Pre-school - elementary,3,Both,2021-02-01
Huron,North Huron Schools,21 Main St.,Kinde,High school,5,Both,2021-04-05
Otsego,North Ohio Elementary,912 N Ohio Ave,Gaylord,Pre-school - elementary,2,Both,2021-03-22
Genesee,North Road Elementary,525 North Rd,Fenton,Pre-school - elementary,3,Both,2020-11-02
Kent,North Rockford Middle,397 E Division St NE,Rockford,Junior high/middle school,5,Students,2020-12-07
Oakland,North Sashabaw Elementary,5290 Maybee Rd,Independence Township,Pre-school - elementary,2,Students,2021-03-08
Jackson,Northeast Elem. School,1024 Fleming Ave.,Jackson,Pre-school - elementary,8,Both,2021-03-22
Missaukee,Northern Michigan Christian,128 Martin St,McBain,Administrative,3,Staff,2021-02-01
Misaukee,Northern Michigan Christian School,128 Martin St,McBain,Administrative,4,Both,2020-11-09
Kent,Northpointe Christian School,3101 Leonard St NE,Grand Rapids,High school,15,Both,2021-02-22
Leelanau,Northport Public Schools,104 Wing St,Northport,Pre-school - elementary,2,Staff,2020-11-16
Wayne,Northville High School,45700 Six Mile Rd,Northville,High school,9,Students,2021-03-08
Jackson,Northwest High School,4200 VanHorn Rd,Jackson,High school,2,Students,2020-10-05
Jackson,Northwest High School,4200 Van Horn Rd.,Jackson,High school,3,students,2021-03-01
Midland,Northwood University,4000 Whiting Drive,Midland,Administrative,6,Staff,2021-03-15
Oakland,Notre Dame Prep Academy,1300 Giddings Rd,Pontiac,High school,2,Students,2021-02-08
Oakland,Notre Dame Prep Academy,1300 Giddings Rd,Pontiac,High school,11,Students,2021-03-08
Oakland,Novi High School,24062 Taft Rd,Novi,High school,8,Students,2020-09-21
Mason,OJ Dejonge Middle School,706 E Tinkham Ave,Ludington,Junior high/middle school,2,Students,2021-03-15
Oakland,Oakland Schools Technical Campus Northwest,8211 Big Lake Rd,Clarkston,High school,2,Staff,2020-10-19
Oceana,Oceana Christian School,3258 North 72nd Avenue,Hart,Pre-school - elementary,2,Students,2020-10-26
Ingham,Okemos High School,2800 Jolly Rd,Okemos,High school,7,Both,2021-03-01
Eaton,Olivet High School,255 1St St,Olivet,High school,2,Students,2020-11-16
Eaton,Olivet High School,255 1st St,Olivet,High school,2,Students,2021-02-01
Eaton,Olivet High School,255 1st St,Olivet,High school,5,Students,2021-03-29
Presque Isle,Onaway High School,4549 M-33,Onaway,High school,2,Students,2021-02-08
Lenawee,Onsted Schools,10109 Slee Rd # 10,Onsted,High school,2,Students,2021-03-08
Ontonagon,Ontonagon Area School District,701 Parker Avenue,Ontonagon,High school,5,Students,2021-02-08
Detroit City,Order of the Fishermen Head Start Chapel Hill,10025 Grand River Ave,Detroit,Pre-school - elementary,2,Staff,2020-11-30
Ottawa,Ottawa Area Center,10160 96th Ave,Allendale,Junior high/middle school,2,Staff,2020-10-19
Ottawa,Ottawa Area Center,10160 96th Ave,Allendale,Junior high/middle school,2,Both,2021-03-29
Emmet,Ottawa Elementary,871 Kalamazoo ave,Petoskey,Pre-school - elementary,2,Both,2020-12-21
Macomb,Ottawa Elementary,18601 Millar Rd,Clinton Twp,Pre-school - elementary,2,Students,2021-03-29
Emmet,Ottawa GSRP,871 Kalamazoo ave,Petoskey,Pre-school - elementary,3,both,2020-11-23
Huron,Our Lady of Lake Huron,222 Court St,Harbor Beach,Junior high/middle school,3,Students,2021-03-22
Oakland,Our Lady of Refuge,5495 Dixie Hwy,Waterford Twp.,Pre-school - elementary,2,Both,2020-11-16
Oakland,Our Lady of Refuge,3750 Commerce Rd,West Bloomfield Township,Pre-school - elementary,2,Both,2020-11-16
Oakland,Our Lady of the Lakes,5481 Dixie Hwy,Waterford Township,Pre-school - elementary,2,Both,2020-12-14
Oakland,Our Shepard Lutheran,1658 E. Lincoln St,Birmingham,Pre-school - elementary,15,Both,2021-03-15
Oakland,Our Shepard Lutheran,1658 E. Lincoln St,Birmingham,Junior high/middle school,15,Both,2021-03-22
Wayne,Owen Intermediate School,45201 Owen St,Belleville,Junior high/middle school,4,Both,2020-11-16
Huron,Owendale Gagetown School,7166 E Main St,Owendale,High school,3,Both,2021-03-22
Shiawassee,Owosso High School,765 E. North St.,Owosso,High school,10,Students,2020-11-09
Oakland,Oxford HS,745 N Oxford Rd,Oxford,High school,9,Students,2021-03-29
Oakland,Oxford HS Cheerleaders,745 N Oxford Rd,Oxford,High school,2,Students,2021-03-29
Oakland,Oxford High School,745 N Oxford Rd,Oxford,High school,2,Students,2021-02-08
Oakland,Oxford High school,745 N Oxford Rd,Oxford,High school,2,Students,2021-03-22
Oakland,Oxford High school,745 N Oxford Rd,Oxford,High school,4,Students,2021-03-29
Oakland,Oxford Middle School,1420 Lakeville Rd,Oxford,Junior high/middle school,2,Students,2020-10-12
Oakland,Oxford Middle School,1420 Lakeville Rd,Oxford,Junior high/middle school,2,Students,2021-03-29
Oakland,Oxford Middle school,1420 Lakeville Rd,Oxford,Junior high/middle school,3,Students,2021-03-22
Ottawa,Park Elementary,5525 Park Ave,Hudsonville,Pre-school - elementary,7,Both,2020-10-05
Kent,Parkside Elementary,156 Lewis St,Rockford,Pre-school - elementary,2,Staff,2020-09-15
Eaton,Parkview,301 E Kalamo Hwy,Charlotte,Junior high/middle school,2,Both,2020-11-09
Wayne,Patrick Henry Middle School,24825 Hall Rd,Woodhaven,Junior high/middle school,3,Students,2021-03-15
Van Buren,Paw Paw High School,Red Arrow Hwy,Paw Paw,High school,4,Students,2020-11-02
Sanilac,Peck Schools,222 E Lapeer St,Peck,High school,2,Both,2021-03-08
Emmet,Pellston High School,172 Park St,Pellston,High School,2,Students,2021-03-08
Genesee,Perry Innovation Center,11920 S Saginaw St,Grand Blanc,Pre-school - elementary,2,Staff,2020-11-16
Emmet,Petoskey High School,1500 Hill St,Petoskey,High School,2,Students,2021-03-08
Emmet,Petoskey Hockey Association,1500 Hills st,Petoskey,Pre-school - elementary,2,Both,2021-03-08
Emmet,Petoskey Middle School,801 Northmen dr,Petoskey,Junior high/middle school,2,Students,2021-03-08
Clinton,Pewamo-Westphalia,5101 Clintonia Rd,Westphalia,High school,6,Both,2020-12-07
Livingston,Pinckney High School,10255 Dexter-Pinckney Road,Pinckney,High school,2,Students,2021-03-15
Oakland,Pine Knob Elementary,6020 Sashabaw,Clarkston,Junior high/middle school,2,Students,2021-02-08
Macomb,Pinewood Elementary School,14411 Bade Dr,Warren,Pre-school - elementary,3,Both,2020-10-19
Bay,Pinny Central,,,,2,,2020-11-30
Allegan,Plainwell High School,684 Starr Rd,Plainwell,High school,7,Students,2020-10-26
Washtenaw,Pleasant Ridge Elementary,229 Pleasant Ridge Drive,Saline,Pre-school - elementary,2,Staff,2020-12-21
Wayne,Plymouth Christian Academy,43065 Joy Rd,Canton,High school,6,Both,2020-10-19
Wayne,Plymouth Christian Academy,43065 Joy Rd,Canton,Pre-school - elementary,2,Staff,2021-02-22
Wayne,Plymouth High School,8400 N. Beck Rd,Canton,High school,3,Both,2020-11-30
Wayne,Plymouth High School,8400 N Beck Rd,Canton,High school,5,Students,2021-03-08
St. Clair,Port Huron High School,2215 Court St,Port Huron,High school,2,Staff,2020-11-30
St Clair,Port Huron High School,2215 Court St,Port Huron,High school,5,Students,2021-03-22
Kalamazoo,Portage Central Elementary,8422 S Westnedge Ave,Portage,Pre-school - elementary,15,Both,2021-03-01
Kalamazoo,Portage Central Elementary,,Portage,Pre-school - elementary,20,Both,2021-03-01
Kalamazoo,Portage Central HS,,Portage,High school,24,Both,2021-03-08
Ionia,Portland St Patrick,140 Church St.,Portland,High school,3,Students,2020-11-23
Houghton,"Public Schools of Calumet, Laurium, Keweenaw",57070 Mine Street,Calumet,Junior high/middle school,20,Both,2021-02-01
Delta,Rapid River Schools,10070 Hwy US2,Rapid River,High school,3,Students,2020-11-09
Tuscola,Reese Elementary,9535 Center St,Reese,Pre-school - elementary,2,Staff,2021-03-15
Macomb,Regina High School,13900 Masonic Blvd,Warren,High school,3,Both,2020-11-16
Genesee,Reid Elementary,7501 Seneca Street,Goodrich,Pre-school - elementary,3,Staff,2020-11-23
Detroit City,Renaissance High School,6565 W. Outer Drive.,Detroit City,High school,3,Students,2021-03-22
Ingham,Resurrection School,1521 E. Michigan Ave,Lansing,Junior high/middle school,3,Both,2021-04-05
Oakland,Reuther Middle School,1430 E. Auburn Rd,Rochester Hills,Junior high/middle school,3,Students,2021-04-05
Macomb,Richards Middle School,33500 Garfield Rd,Fraser,Junior high/middle school,3,Both,2021-03-08
Macomb,Richmond High School,35320 Division Rd,Richmond,High school,2,Students,2020-11-30
Macomb,Richmond Middle School,35250 Division Rd,Richmond,Junior high/middle school,3,Both,2020-11-23
Wayne,Ridge Wood Elementary School,49775 6 Mile Rd,Northville,Pre-school - elementary,2,Staff,2020-12-14
Wayne,Ridge Wood Elementary School,49775 6 Mile Rd,Northville,Pre-school - elementary,2,Students,2021-01-18
Shiawassee,Robert Kerr Elementary School,9591 E Monroe Rd,Durand,Pre-school - elementary,2,Students,2020-11-23
Oakland,Rochester High School,800 W Avon Rd,Rochester Hills,High school,2,Both,2021-03-22
Oakland,Rochester High School,800 W Avon Rd,Rochester Hills,High school,2,Students,2021-03-22
Kent,Rockford High School,4100 Kroes St NE,Rockford,High school,4,Both,2020-10-05
Presque Isle,Rogers City High School,1033 W Huron Ave,Rogers City,High school,6,Students,2021-03-29
Presque Isle,Rogers City High School,1033 W Huron Ave,Rogers City,High school,4,Students,2021-04-05
Presque Isle,Rogers City Schools,1033 W Huron Ave,Rogers City,Administrative,2,Staff,2021-02-08
Lapeer,Rolland Warner,3145 W Genesee St,Lapeer,Junior high/middle school,1,Students,2020-11-02
Macomb,Romeo 9th Grade Academy,62100 Jewell Rd.,Washington,Junior high/middle school,5,Students,2021-03-29
Macomb,Romeo High School,11091 32 Mile,Romeo,High school,2,Students,2020-10-19
Macomb,Romeo High School,62300 Jewell Rd,Washington,High school,2,Students,2021-04-05
Macomb,Romeo Middle School,297 Prospect St,Romeo,Junior high/middle school,2,Students,2021-03-29
Wayne,Romulus High School,9650 Wayne Rd,Romulus,High school,4,Students,2021-03-22
Wayne,Roosevelt High School,540 Eureka Rd,Wyandotte,High school,3,Students,2020-10-12
Roscommon,Roscommon High School,10600 Oakwood Drive,Roscommon,High school,14,Students,2021-03-22
Ottawa,Rose Park Christian School,556 Butternut Dr,Holland,Pre-school - elementary,2,Students,2020-11-16
Macomb,Roseville High School,17855 Common Rd,Roseville,High school,3,Both,2020-11-16
Macomb,Roseville Middle School,16250 Martin Rd,Roseville,Junior high/middle school,2,Students,2020-11-16
Lapeer,Ruth Fox Middle School,6570 Brush Street,North Branch,Junior high/middle school,2,Students,2020-11-23
Saginaw,Saginaw Preparatory Academy,5173 Lodge Street,Saginaw,Pre-school - elementary,2,Staff,2020-10-05
Grand Traverse,Saint Mary's of Hannah,2912 M-113,Kingsley,Pre-school - elementary,7,Both,2021-02-08
Ionia,Saints Peter and Paul,434 High St.,Ionia,Pre-school - elementary,6,Both,2020-12-28
Wayne,Salem High School,46181 Joy Rd,Canton,High school,3,Staff,2020-11-16
Wayne,Salem High School,46181 Joy Rd,Canton,High school,2,Students,2021-03-08
Wayne,Salina Intermediate School,2623 Salina St,Dearborn,Junior high/middle school,2,Staff,2020-09-21
Washtenaw,Saline Middle School,7190 N Maple Rd,Saline,Junior high/middle school,2,Students,2020-11-16
Lenawee,Sand Creek Schools,6518 Sand Creek Hwy,Sand Creek,High school,4,Students,2021-01-25
Kent,Sand Lake Elementary,15 S. Seventh St.,Sand Lake,Pre-school - elementary,2,Students,2021-03-08
Sanilac,Sandusky Schools,191 E Pinetree Lane,Sandusky,Administrative,3,Staff,2020-12-07
Sanilac,Sandusky Schools,191 E Pinetree Lane,Sandusky,High school,5,Both,2021-03-29
Ottawa,Sandy Hill Elementary,1990 Baldwin St,Jenison,Pre-school - elementary,2,Staff,2020-12-14
Marquette,Sandy Knoll,401 6th Street,Marquette,Pre-school - elementary,2,Students,2020-10-19
Marquette,Sandy Knoll Elementary School,401 N 6th St.,Marquette,Pre-school - elementary,2,Both,2021-01-25
Sanilac,Sanilac ISD,175 E Aiken Rd,Peck,High school,3,Both,2021-02-22
Oakland,Sarah Banks Middle School,1760 Charms Rd,Wixom,Junior high/middle school,2,Students,2021-04-05
Oakland,Sayre Elementary,23000 Valerie St,South Lyon,Pre-school - elementary,2,Both,2020-11-30
Lapeer,Schickler,,Lapeer,Pre-school - elementary,2,Both,2021-02-15
Mason,Scottville Elementary,505 W Maple Ave,Scottville,Administrative,5,Both,2020-12-21
Oakland,Seaholm High School,2436 West Lincoln,Birmingham,High school,2,Both,2021-02-08
Oakland,Seaholm High School,2436 West Lincoln,Birmingham,High school,2,Students,2021-03-08
Oakland,Seaholm High School,2436 West Lincoln,Birmingham,High school,2,Students,2021-04-05
Oakland,Seaholm High School,2436 West Lincoln,Birmingham,High school,2,students,2021-04-05
Macomb,Seneca Middle School,47200 Heydenreich,Macomb,Junior high/middle school,2,Both,2021-02-22
Macomb,Sequoyah Elementary,18500 24 Mile Rd,Macomb,Pre-school - elementary,3,Both,2020-11-16
Oceana,Shelby High School,641 N State St.,Shelby,High school,3,Both,2020-11-09
Macomb,Shelby Junior High School,51700 Van Dyke Ave,Shelby Township,High school,2,Staff,2020-11-23
Macomb,Shelby Junior High School,51700 Van Dyke Ave,Shelby Township,Junior high/middle school,2,Students,2021-03-22
Wayne,Shumate Middle School,30448 W. Jefferson Ave,Gibraltar,Junior high/middle school,3,Students,2020-09-28
Midland,Siebert Elementary,5700 Siebert,Midland,Pre-school - elementary,4,Both,2020-11-09
Wayne,Simpson Middle School,24900 Meadows Ave,Flat Rock,Junior high/middle school,3,Both,2021-03-01
Calhoun,Sonoma Elementary,4640 B Dr S,Battle Creek,Pre-school - elementary,2,Students,2021-03-29
Washtenaw,South Arbor Charter Academy,8200 Carpenter Rd,Ypsilanti,Pre-school - elementary,2,Students,2020-12-07
Genesee,South Bendle Elementary,4341 Larkin Dr,Burton,Pre-school - elementary,3,Staff,2020-11-16
Kent,South Christian High School,7979 Kalamazoo Ave SE,Byron Center,High school,6,Students,2020-10-26
Van Buren,South Haven,513 Monroe Blvd,South Haven,Pre-school - elementary,3,Both,2021-03-22
Oakland,South Lyon High School,1000 N Lafayette St,South Lyon,High school,3,Students,2021-04-05
Barry,Southeastern Elementary,1300 S East St,Hastings,Pre-school - elementary,2,Students,2021-02-01
Oakland,Southfield Christian School,28650 Lahser Rd,Southfield,High school,5,Students,2021-03-22
Wayne,Southgate Anderson High School,15475 Leroy St,Southgate,High school,2,Students,2021-03-01
Livingston,Southwest Elementary School,915 Gay Street,Howell,Pre-school - elementary,2,Staff,2020-12-07
Kent,Sparta High School,475 West Spartan Drive,Sparta,High school,4,Both,2020-09-28
Kent,Sparta High School,475 West Spartan Drive,Sparta,High school,15,Both,2021-04-05
Kent,Sparta Middle School,480 S State St,Sparta,Junior high/middle school,2,Both,2020-09-21
Ottawa,Spring Lake High School,16140 148th Ave,Spring Lake,High school,2,Students,2020-11-16
Ottawa,Spring Lake High School,16140 148th Ave,Spring Lake,High school,2,Students,2021-03-08
Jackson,Springport High School,300 W. Main Street,Springport,High school,2,Students,2020-09-28
Jackson,Springport High School,300 W. Main,Springport,High school,2,Students,2021-02-01
Jackson,Springport High School,300 W. Main,Spingport,High school,4,Students,2021-03-15
Jackson,Springport Middle School,300 W. Main,Springport,Junior high/middle school,6,both,2021-03-15
Shiawassee,Springvale Christian Schools,4150 S. M52,Owosso,High school,2,Students,2020-12-21
St. Clair,St Clair High School,2200 Clinton Ave,St Clair,High school,3,Students,2021-03-15
Emmet,St Francis Xavier School,414 Michigan St,Petoskey,Pre-school - elementary,3,Both,2020-11-16
Washtenaw,St Francis of Assisi Catholic School,2270 E. Stadium Blvd,Ann Arbor,Pre-school - elementary,3,Both,2020-12-14
Ingham,St Gerard Catholic School,4433 W Willow Hwy,Lansing,Pre-school - elementary,3,Staff,2020-10-26
Ingham,St Martha's School,"1100 W Grand River Ave, Okemos, MI 48864",Okemos,Pre-school - elementary,6,Both,2020-09-21
Otsego,St Mary Cathedral School,321 N Otsego Ave,Gaylord,Pre-school - elementary,2,Students,2021-03-29
Eaton,St Michael,,Grand Ledge,Pre-school - elementary,2,Both,2021-02-08
Emmet,St Michaels Academy,2225 Summit Park Dr,Petosey,High school,4,Students,2021-02-01
Washtenaw,St Paul Lutheran School,495 Earhart Rd,Ann Arbor,Pre-school - elementary,2,Students,2020-11-16
Washtenaw,St Paul Lutheran School,495 Earhart Rd,Ann Arbor,Pre-school - elementary,8,Both,2021-01-25
Wayne,St. Anselm Elementary School,17700 W. Outer Dr,Dearborn Heights,Pre-school - elementary,3,Both,2020-11-09
Van Buren,St. Basil Catholic School,94 Superior Street,South Haven,Pre-school - elementary,3,Both,2021-03-22
Oakland,St. Fabian PreK and Elementary School,32200 W 12 Mile Rd,Farmington Hills,Pre-school - elementary,8,Both,2020-12-07
Wayne,St. Frances Cabrini Middle School,15300 Wick Rd,Allen Park,Junior high/middle school,5,Students,2021-02-08
Eaton,St. Gerrard,4433 W Willow Hwy,Lansing,Pre-school - elementary,3,Both,2021-01-18
Mackinac,St. Ignace LaSalle High School,W443 Portage St,St. Ignace,High school,2,Students,2021-02-15
Macomb,St. Isaac Jogues Catholic School,21100 Madison St,St. Clair Shores,Pre-school - elementary,4,Students,2020-12-21
Macomb,St. Joan of Arc School,22415 Overlake St,St. Clair Shores,Pre-school - elementary,4,Students,2020-12-21
Jackson,St. John's Elem.,405 E. North St.,Jackson,Pre-school - elementary,2,Students,2021-04-05
Jackson,St. John's Elementary,405 E. North St.,Jackson,Pre-school - elementary,2,Students,2021-03-29
Clinton,St. Johns High School,501 W Sickles,St. Johns,High school,2,Students,2021-03-29
Macomb,St. Lawrence Catholic School,44429 Utica Rd,Utica,Junior high/middle school,4,Students,2020-10-12
Gratiot,St. Louis High School,113 E Saginaw St,St. Louis,High school,5,Students,2021-04-05
Livingston,St. Patrick School,1001 Charles Orndorf Drive,Brighton,Pre-school - elementary,2,Students,2020-11-23
Livingston,St. Patrick School,1001 Charles Orndorf Drive,Brighton,Junior high/middle school,6,Students,2021-03-15
Macomb,St. Paul Catholic School,170 Grosse Pointe Boulevard,Grosse Pointe Farms,Junior high/middle school,2,Students,2021-03-08
Macomb,St. Peter Lutheran School,17051 24 Mile Rd,Macomb,Junior high/middle school,4,Students,2020-11-16
Arenac,Standish Sterling Jr/Sr High,2401 Grove Road,Standish,High school,5,Students,2021-01-25
Arenac,Standish-Sterling Elementary,3789 Wyatt Road,Standish,Pre-school - elementary,4,Staff,2020-11-30
Arenac,Standish-Sterling High School,2401 Grove Street Road,Standish,High school,2,Students,2020-11-23
Barry,Star Elementary,1900 Star School Rd,Hastings,Pre-school - elementary,3,Both,2021-02-01
Monroe,State Line Christian School,6320 Lewis Ave,Temperance,Pre-school - elementary,6,Both,2020-10-26
Ingham,Steele Street Elementary School,531 Steele St,Mason,Pre-school - elementary,3,Students,2021-03-29
Menominee,Stephenson High/Middle School,W526 Division Street,Stephenson,High school,3,Students,2020-11-02
Wayne,Stevenson High School,33500 Six Mile Rd,Livonia,High school,10,Students,2021-03-29
Oakland,Stoney Creek High School,6755 Sheldon Rd,Rochester Hills,High school,6,Students,2021-03-15
Oakland,Stoney Creek High School,6755 Sheldon Rd,Rochester Hills,High school,3,Students,2021-03-22
Oakland,Stoney Creek High School,6755 Sheldon Rd,Rochester Hills,High school,2,Students,2021-04-05
Macomb,Sugarbush Elementary School,48400 Sugarbush Rd,Chesterfield,Pre-school - elementary,3,Both,2020-10-26
Alger,Superior Central School,E2865 M94,Eben Junction,Pre-school - elementary,1,Staff,2020-11-16
Alger,Superior Central School,E2865 M94,Eben Junction,Pre-school - elementary,3,Students,2020-11-23
Alger,Superior Central School,E2865 State Rd. M-94,Eben Junction,Pre-school - elementary,3,Students,2021-01-25
Marquette,Superior Hills,1201 S McCellan,Marquette,Pre-school - elementary,2,Staff,2020-09-21
Marquette,Superior Hills,1201 S Mcclellan,Marquette,Pre-school - elementary,2,Staff,2020-11-16
Leelanau,Suttons Bay High School,310 Elm,Suttons Bay,High school,5,Students,2021-03-01
Genesee,Swartz Creek High School,1 Dragon Drive,Swartz Creek,High school,2,Staff,2020-09-28
Iosco,Tawas Area High School,255 M-55,Tawas City,High school,4,Students,2020-11-16
Emmet,Taylor School Head Start,1515 Cemetery Rd,Petoskey,Pre-school - elementary,4,Staff,2021-01-25
Lenawee,Tecumseh High School,760 Brown St.,Tecumseh,High school,4,Students,2020-10-05
Lenawee,Tecumseh Schools,212 N. Ottawa St.,Tecumseh,High school,4,Students,2021-02-08
Calhoun,Tekonsha High School,245 Elm St,Tekonsha,High school,3,Students,2021-03-22
Macomb,Tenniswood Elementary,23450 Glenwood St,Clinton Township,Pre-school - elementary,2,Both,2020-11-02
Macomb,Tenniswood Elementary,23450 Glenwood St,Clinton Township,Pre-school - elementary,2,Both,2021-04-05
Grand Traverse,The Children's House-Montessori,5363 N Long Lake Rd,Traverse City,Junior high/middle school,2,Students,2021-04-05
Barry,Thornapple Kellogg High School,3885 Bender Rd,Middleville,High school,2,Both,2020-10-19
Barry,Thornapple Kellogg Middle School,10375 Green Lake Road,Middleville,Junior high/middle school,2,Students,2020-09-15
Oakland,Thornton Creek Elementary,46180 W 9 Mile Rd,Novi,Pre-school - elementary,2,Staff,2020-11-23
Mackinac,Three Lakes Academy,W17540 Main Street,Curtis,Junior high/middle school,5,Staff,2020-10-12
Berrien,Three Oaks Elementary,100 Oak Street,Three Oaks,Pre-school - elementary,2,Both,2020-11-30
Grand Traverse,Traverse City Central High School,1150 Milliken Dr,Traverse City,High school,2,Both,2020-11-02
Grand Traverse,Traverse City Central High School,1150 Miliken Dr,Traverse City,High school,9,Both,2021-03-15
Grand Traverse,Traverse City West Middle School,3950 Silver Lake Rd,Traverse City,Junior high/middle school,5,Students,2021-02-08
Grand Traverse,Traverse City West Middle School,3950 Silver Lake Rd,Traverse City,Junior high/middle school,4,Students,2021-04-05
Grand Traverse,Traverse City West Senior High School,5376 N Long Lake Dr,Traverse City,High school,5,Students,2021-04-05
Montcalm,Tricounty Edgerton,412 E Edgerton St,Howard City,Pre-school - elementary,3,Both,2021-04-05
Montcalm,Tricounty Middle School,21350 Kendaville Rd,Howard City,Junior high/middle school,5,Both,2021-03-22
Berrien,Trinity Luther Early childhood center,613 Court Street,Saint Joseph,Pre-school - elementary,3,Both,2021-03-22
Macomb,Trinity Lutheran School,45160 Van Dyke Ave,Utica,Pre-school - elementary,2,Students,2020-12-14
Macomb,Trinity Lutheran School,45160 Van Dyke Ave,Utica,Junior high/middle school,2,Students,2020-12-21
Lapeer,Turrill,785 S. Elm Street,Lapeer,Pre-school - elementary,3,Students,2021-04-05
Lapeer,Turrill Elementary,785 S Elm St,Lapeer,Pre-school - elementary,1,Students,2020-11-02
Tuscola,USA Elementary,7835 N Unionville Rd,Unionville,Pre-school - elementary,2,Staff,2020-11-23
Huron,Ubly Community Schools,2020 Union St,Ubly,Junior high/middle school,6,Both,2021-01-25
Branch,Union City High School,430 St Joseph St,Union city,High school,5,Both,2020-11-09
Eaton,Union Street Center,501 Union Street,Eaton Rapids,Pre-school - elementary,2,Both,2021-03-08
Huron,Unionville Sebewaing Schools,2203 Wildner Rd,Sebewaing,Junior high/middle school,5,Both,2021-04-05
Ottawa,Unity Christian High School,5900 48th Ave,Hudsonville,High school,4,Both,2020-09-21
Ottawa,Unity Christian School,5900 48th Avenue,Hudsonville,High school,2,Students,2021-02-01
Oakland,University High School,2521 Bermuda St,Ferndale,High school,2,Staff,2021-02-15
