school,county
HIALEAH MIDDLE SCHOOL,MIAMI-DADE
HIALEAH SENIOR HIGH SCHOOL,MIAMI-DADE
INTERNATIONAL STUDIES PREPARATORY ACADEMY,MIAMI-DADE
IPREP ACADEMY NORTH,MIAMI-DADE
IRVING & BEATRICE PESKOE K-8 CENTER,MIAMI-DADE
KINGDOM ACADEMY,MIAMI-DADE
KINGSWOOD MONTESSORI,MIAMI-DADE
KIPP MIAMI-LIBERTY CITY,MIAMI-DADE
LIBERTY CITY ELEMENTARY SCHOOL,MIAMI-DADE
LINCOLN-MARTI COMMUNITY AGENCY 28,MIAMI-DADE
MAGIC KIDS LEARNING CENTER II,MIAMI-DADE
MASTERS PREPARATORY SCHOOL- EAST HIALEAH,MIAMI-DADE
MATER ACADEMY AT MOUNT SINAI,MIAMI-DADE
MATER ACADEMY EAST CHARTER,MIAMI-DADE
MATER ACADEMY EAST CHARTER HIGH SCHOOL,MIAMI-DADE
MATER ACADEMY LAKES HIGH SCHOOL,MIAMI-DADE
MATER ACADEMY MIAMI BEACH,MIAMI-DADE
MIAMI BEACH FEINBERG/FISHER K-8,MIAMI-DADE
MIAMI BEACH SENIOR HIGH SCHOOL,MIAMI-DADE
MIAMI CENTRAL SENIOR HIGH SCHOOL,MIAMI-DADE
MIAMI COMMUNITY CHARTER SCHOOL,MIAMI-DADE
NEW JERUSALEM CHRISTIAN ACADEMY,MIAMI-DADE
NORLAND MIDDLE SCHOOL,MIAMI-DADE
NORTH BEACH ELEMENTARY SCHOOL,MIAMI-DADE
NORTH COUNTY K-8 CENTER,MIAMI-DADE
NORTH GLADE ELEMENTARY SCHOOL,MIAMI-DADE
NORTH HIALEAH ELEMENTARY SCHOOL,MIAMI-DADE
NORTHWEST CHRISTIAN ACADEMY,MIAMI-DADE
OUR PRIDE ACADEMY INC.,MIAMI-DADE
PALMER TRINITY SCHOOL,MIAMI-DADE
PALMETTO ELEMENTARY SCHOOL,MIAMI-DADE
PARKVIEW ELEMENTARY SCHOOL,MIAMI-DADE
PINECREST PREPARATORY ACADEMY CHARTER HIGH SCHOOL,MIAMI-DADE
RABBI ALEXANDER S. GROSS HEBREW ACADEMY,MIAMI-DADE
RANSOM EVERGLADES SCHOOL,MIAMI-DADE
RENAISSANCE ELEMENTARY CHARTER SCHOOL,MIAMI-DADE
RENAISSANCE MIDDLE CHARTER SCHOOL,MIAMI-DADE
ROBERT MORGAN EDUCATIONAL CENTER,MIAMI-DADE
SCHECK HILLEL COMMUNITY SCHOOL INC.,MIAMI-DADE
SHENANDOAH ELEMENTARY SCHOOL,MIAMI-DADE
SOMERSET ACADEMY CHARTER HIGH SCHOOL (SOUTH HOMESTEAD) (HOMESTEAD,MIAMI-DADE
SOMERSET PREPARATORY ACADEMY SUNSET,MIAMI-DADE
SOMERSET PREPATORY ACADEMY - HOMESTEAD,MIAMI-DADE
SPORTS LEADERSHIP AND MANAGEMENT (SLAM) CHARTER MIDDLE SCHOOL (MIAMI,MIAMI-DADE
WESLEY MATTHEWS ELEMENTARY SCHOOL,MIAMI-DADE
WEST LAKES PREPARATORY ACADEMY,MIAMI-DADE
WEST MIAMI MIDDLE SCHOOL,MIAMI-DADE
WESTLAND HIALEAH SENIOR HIGH SCHOOL,MIAMI-DADE
RUTH RAINS MIDDLE SCHOOL,DIXIE
CRYSTAL SPRINGS ELEMENTARY SCHOOL,DUVAL
HENDRICKS AVENUE ELEMENTARY SCHOOL,DUVAL
IMPACT CHRISTIAN ACADEMY,DUVAL
JACKSONVILLE BEACH ELEMENTARY SCHOOL,DUVAL
NORTH FLORIDA SCHOOL FOR SPECIAL EDUCATION,DUVAL
OAK HILL ACADEMY,DUVAL
PROVIDENCE AT WEST JACKSONVILLE CHRISTIAN A,DUVAL
THE BRIDGE TO SUCCESS ACADEMY AT W JACKSONVILLE,DUVAL
BEULAH ELEMENTARY SCHOOL,ESCAMBIA
BEULAH MIDDLE SCHOOL,ESCAMBIA
BROWN BARGE MIDDLE SCHOOL,ESCAMBIA
C. A. WEIS ELEMENTARY SCHOOL,ESCAMBIA
ESCAMBIA DISTRICT OFFICE,ESCAMBIA
HELLEN CARO ELEMENTARY SCHOOL,ESCAMBIA
O. J. SEMMES ELEMENTARY SCHOOL,ESCAMBIA
PINE MEADOW ELEMENTARY SCHOOL,ESCAMBIA
LEWIS E. WADSWORTH ELEMENTARY,FLAGLER
BELL ELEMENTARY SCHOOL,GILCHRIST
TRENTON HIGH SCHOOL,GILCHRIST
WESTSIDE ELEMENTARY SCHOOL,HENDRY
BROOKSVILLE ELEMENTARY SCHOOL,HERNANDO
DELTONA ELEMENTARY SCHOOL,HERNANDO
GULF COAST ACADEMY OF SCIENCE AND TECHNOLOGY,HERNANDO
WEEKI WACHEE HIGH SCHOOL,HERNANDO
LAKE PLACID ELEMENTARY SCHOOL,HIGHLANDS
ST. CATHERINE CATHOLIC SCHOOL,HIGHLANDS
ADAMS MIDDLE SCHOOL,HILLSBOROUGH
BELL SHOALS BAPTIST ACADEMY,HILLSBOROUGH
BURNEY ELEMENTARY SCHOOL,HILLSBOROUGH
CARROLLWOOD ELEMENTARY SCHOOL,HILLSBOROUGH
CARVER EXCEPTIONAL CENTER,HILLSBOROUGH
CENTRAL BAPTIST CHRISTIAN SCHOOL,HILLSBOROUGH
CORPUS CHRISTI CATHOLIC SCHOOL,HILLSBOROUGH
CYPRESS CREEK ELEMENTARY SCHOOL,HILLSBOROUGH
DAVIDSEN MIDDLE SCHOOL,HILLSBOROUGH
DEER PARK ELEMENTARY SCHOOL,HILLSBOROUGH
EDISON ELEMENTARY SCHOOL,HILLSBOROUGH
EISENHOWER MIDDLE SCHOOL,HILLSBOROUGH
GIUNTA MIDDLE SCHOOL,HILLSBOROUGH
JENNINGS MIDDLE SCHOOL,HILLSBOROUGH
KENLY ELEMENTARY SCHOOL,HILLSBOROUGH
KIDS COMMUNITY COLLEGE CHARTER HIGH SCHOOL,HILLSBOROUGH
MISSIONARY CHRISTIAN SCHOOL,HILLSBOROUGH
NEW JERUSALEM CHRISTIAN ACADEMY,HILLSBOROUGH
ROOSEVELT ELEMENTARY SCHOOL,HILLSBOROUGH
SAINT JOHNS EPISCOPAL PARISH DAY SCHOOL,HILLSBOROUGH
SEFFNER CHRISTIAN ACADEMY,HILLSBOROUGH
TAMPA HEIGHTS ELEMENTARY MAGNET,HILLSBOROUGH
TURNER-BARTELS K-8 SCHOOL,HILLSBOROUGH
WEST GATE CHRISTIAN SCHOOL,HILLSBOROUGH
OSCEOLA MAGNET SCHOOL,INDIAN RIVER
SEBASTIAN CHARTER JUNIOR HIGH SCHOOL,INDIAN RIVER
SEBASTIAN RIVER MIDDLE SCHOOL,INDIAN RIVER
CHIPOLA COMMUNITY COLLEGE,JACKSON
JACKSON COUNTY EARLY CHILDHOOD CENTER,JACKSON
EUSTIS ELEMENTARY SCHOOL,LAKE
LAKE ACADEMY LEESBURG,LAKE
NEW HOPE CHRISTIAN ACADEMY,LAKE
PINE RIDGE ELEMENTARY SCHOOL,LAKE
THE VILLAGES ELEMENTARY OF LADY LAKE SCHOOL,LAKE
BUCKINGHAM EXCEPTIONAL STUDENT CENTER,LEE
DE LASALLE ACADEMY OF FORT MYERS,LEE
GRACE COMMUNITY SCHOOL,LEE
HARNS MARSH ELEMENTARY SCHOOL,LEE
HARNS MARSH MIDDLE SCHOOL,LEE
MARINER MIDDLE SCHOOL,LEE
OASIS CHARTER MIDDLE SCHOOL,LEE
SKYLINE ELEMENTARY SCHOOL,LEE
DR MONA JAIN MIDDLE SCHOOL,MANATEE
COLLEGE PARK ELEMENTARY SCHOOL,MARION
GREENWAY ELEMENTARY SCHOOL,MARION
VILLAGE VIEW CHRISTIAN ACADEMY,MARION
MARTIN DISTRICT OFFICE,MARTIN
PALM CITY ELEMENTARY SCHOOL,MARTIN
BIG PINE ACADEMY,MONROE
ST. MICHAEL'S ACADEMY,NASSAU
LAUREL HILL SCHOOL,OKALOOSA
NORTH ELEMENTARY SCHOOL,OKEECHOBEE
ACCELERATION EAST,ORANGE
ALOMA ELEMENTARY,ORANGE
DOMMERICH ELEMENTARY,ORANGE
DOVER SHORES ELEMENTARY,ORANGE
ENDEAVOR ELEMENTARY,ORANGE
GOTHA MIDDLE,ORANGE
HOPE CHARTER,ORANGE
HUNTERS CREEK MIDDLE,ORANGE
JOHN YOUNG ELEMENTARY,ORANGE
LAKE NONA MIDDLE,ORANGE
LAKE WESTON ELEMENTARY,ORANGE
LAKEMONT ELEMENTARY,ORANGE
LOCKHART MIDDLE,ORANGE
ORLANDO SCIENCE MIDDLE HIGH CHARTER,ORANGE
PINE HILLS ELEMENTARY,ORANGE
PINEWOOD ELEMENTARY,ORANGE
PRINCETON HOUSE CHARTER,ORANGE
RENAISSANCE CHARTER SCHOOL AT HUNTERS CREEK,ORANGE
UCP WEST ORANGE CHARTER,ORANGE
WHISPERING OAK ELEMENTARY,ORANGE
CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING,OSCEOLA
NAZARET CHRISTIAN ACADEMY INC.,OSCEOLA
OSCEOLA COUNTY SCHOOL FOR THE ARTS,OSCEOLA
PLEASANT HILL ELEMENTARY SCHOOL,OSCEOLA
THACKER AVENUE ELEMENTARY FOR INTERNATIONAL STUDIES,OSCEOLA
ADDISON MIZNER ELEMENTARY SCHOOL,PALM BEACH
BAK MIDDLE SCHOOL OF THE ARTS,PALM BEACH
BEACON COVE INTERMEDIATE SCHOOL,PALM BEACH
CARVER MIDDLE SCHOOL,PALM BEACH
CITRUS COVE ELEMENTARY SCHOOL,PALM BEACH
COASTAL MIDDLE AND HIGH SCHOOL INC.,PALM BEACH
CRESTWOOD COMMUNITY MIDDLE,PALM BEACH
CRYSTAL LAKES ELEMENTARY SCHOOL,PALM BEACH
EQUESTRIAN TRAILS ELEMENTARY,PALM BEACH
FRONTIER ELEMENTARY SCHOOL,PALM BEACH
GALAXY ELEMENTARY SCHOOL,PALM BEACH
GLADE VIEW ELEMENTARY SCHOOL,PALM BEACH
GOLDEN GROVE ELEMENTARY SCHOOL,PALM BEACH
GREENACRES ELEMENTARY SCHOOL,PALM BEACH
HERITAGE ELEMENTARY SCHOOL,PALM BEACH
HOWELL L. WATKINS MIDDLE SCHOOL,PALM BEACH
IMAGINE SCHOOLS CHANCELLOR CAMPUS,PALM BEACH
LIGHTHOUSE ELEMENTARY SCHOOL,PALM BEACH
PALM BEACH DISTRICT OFFICE,PALM BEACH
PALM BEACH PUBLIC SCHOOL,PALM BEACH
ROYAL PALM BEACH ELEMENTARY SCHOOL,PALM BEACH
S. D. SPADY ELEMENTARY SCHOOL,PALM BEACH
SOUTH AREA SECONDARY INTENSIVE TRANSITION PROGRAM,PALM BEACH
SOUTH GRADE ELEMENTARY SCHOOL,PALM BEACH
SOUTH OLIVE ELEMENTARY SCHOOL,PALM BEACH
THE BENJAMIN UPPER SCHOOL,PALM BEACH
THE LEARNING CENTER AT THE ELS CENTER OF EXCELLENCE,PALM BEACH
WATERS EDGE ELEMENTARY SCHOOL,PALM BEACH
WATSON B. DUNCAN MIDDLE SCHOOL,PALM BEACH
WELLINGTON ELEMENTARY SCHOOL,PALM BEACH
WOODLANDS MIDDLE SCHOOL,PALM BEACH
WYNNEBROOK ELEMENTARY SCHOOL,PALM BEACH
ACADEMY AT THE LAKES,PASCO
MARCHMAN TECHNICAL COLLEGE ADULT,PASCO
MIRACLES SCHOOLS,PASCO
SHADY HILLS ELEMENTARY SCHOOL,PASCO
BETHEL COMMUNITY CHRISTIAN SCHOOL,PINELLAS
BLESSED SACRAMENT CATHOLIC SCHOOL,PINELLAS
CREATIVE PLAY CHILDREN'S LEARNING CENTER,PINELLAS
DESTINY ACHIEVEMENT CENTERS,PINELLAS
ENTERPRISE CHARTER HIGH SCHOOL,PINELLAS
JOSEPH L. CARWISE MIDDLE SCHOOL,PINELLAS
LUTHERAN CHURCH OF THE CROSS DAY SCHOOL,PINELLAS
PINELLAS PARK ELEMENTARY SCHOOL,PINELLAS
SANDY LANE ELEMENTARY SCHOOL,PINELLAS
SKYVIEW ELEMENTARY SCHOOL,PINELLAS
STARKEY ELEMENTARY SCHOOL,PINELLAS
SUTHERLAND ELEMENTARY SCHOOL,PINELLAS
BOK ACADEMY,POLK
DALE R FAIR BABSON PARK ELEMENTARY,POLK
DISCOVERY HIGH SCHOOL,POLK
FUTURE SCHOLARS CHRISTIAN ACADEMY,POLK
GAUSE ACADEMY OF LEADERSHIP,POLK
LAKE ALFRED POLYTECH ACADEMY,POLK
LEWIS ANNA WOODBURY ELEMENTARY SCHOOL,POLK
ROSABELLE W. BLAKE ACADEMY,POLK
WENDELL WATSON ELEMENTARY SCHOOL,POLK
ST. JOHNS CHRISTIAN SCHOOL,PUTNAM
IMAGINE SCHOOL AT NORTH PORT,SARASOTA
INCARNATION SCHOOL,SARASOTA
NEW GATE SCHOOL,SARASOTA
SARASOTA MILITARY ACADEMY HIGH CAMPUS,SARASOTA
THE CLASSICAL ACADEMY OF SARASOTA,SARASOTA
ALTAMONTE CHRISTIAN SCHOOL,SEMINOLE
CIRCLE CHRISTIAN SCHOOL WINTER SPRINGS CAMPUS,SEMINOLE
KEETH ELEMENTARY SCHOOL,SEMINOLE
SOUTH SEMINOLE MIDDLE SCHOOL,SEMINOLE
WOODLANDS ELEMENTARY SCHOOL,SEMINOLE
BOLLES,ST. JOHNS
PICOLATA CROSSING ELEMENTARY SCHOOL,ST. JOHNS
R. B. HUNT ELEMENTARY SCHOOL,ST. JOHNS
RIVERS EDGE ELEMENTARY SCHOOL,ST. LUCIE
LAKE PANASOFFKEE ELEMENTARY SCHOOL,SUMTER
BRIDGEPREP ACADEMY OF INTERAMERICAN,UNKNOWN
CHILD DEVELOPMENT CENTER,UNKNOWN
DADE - YESHIVA TORAS CHAIM,UNKNOWN
MATER ACADEMY,UNKNOWN
MATER ACADEMY ELEMENTARY,UNKNOWN
MIAMI-DADE - MATER ACADEMY BAY ELEMENTARY,UNKNOWN
MIAMI-DADE - MIAMI SENIOR HIGH SCHOOL,UNKNOWN
MIAMI-DADE - SOUTHWEST MIAMI ADULT & COMMUNITY EDUCATION CENTER,UNKNOWN
ORANGE - RENAISSANCE CHARTER SCHOOL AT GOLDENROD,UNKNOWN
SOUTHSHORE MONTESSORI SCHOOL,UNKNOWN
SPACE OF MIND DEL RAY BEACH,UNKNOWN
THE PRAXIS INSTITUTE,UNKNOWN
EDITH I. STARKE ELEMENTARY SCHOOL,VOLUSIA
FOREST LAKE ELEMENTARY SCHOOL,VOLUSIA
HIGHBANKS LEARNING CENTER,VOLUSIA
OSCEOLA ELEMENTARY SCHOOL,VOLUSIA
RICHARD MILBURN ACADEMY,VOLUSIA
WALTON DISTRICT OFFICE,WALTON
WASHINGTON COUNTY CHRISTIAN SCHOOL,WASHINGTON
EASTERN FLORIDA STATE COLLEGE- PALM BAY CAMPUS,BREVARD
CONCORDE CAREER INSTITUTE,BROWARD
KEISER UNIVERSITY - FT. LAUDERDALE CAMPUS,BROWARD
ROSS UNIVERSITY SCHOOL OF MEDICINE,BROWARD
BABSON COLLEGE MIAMI CAMPUS,MIAMI-DADE
KAPLAN INTERNATIONAL LANGUAGES - MIAMI,MIAMI-DADE
UNIVERSITY OF TAMPA,HILLSBOROUGH
CORTIVA INSTITUTE,ORANGE
UNIVERSAL TECHNICAL INSTITUTE,ORANGE
HEALTH CAREER INSTITUTE COLLEGE,PALM BEACH
MARCHMAN TECHNICAL,PASCO
PASCO HERNANDO STATE COLLEGE - WEST CAMPUS,PASCO
POLK STATE COLLEGE- LAKELAND CAMPUS,POLK
TRAVISS TECHNICAL COLLEGE,POLK
AIM AVIATION INSTITUTE AND MAINTENANCE,UNKNOWN
ARCHIMEDEAN ACADEMY,UNKNOWN
CRANBERRY ELEMENTARY SCHOOL,UNKNOWN
CYPRESS SUITS B,UNKNOWN
FSU,UNKNOWN
HILLSBOROUGH COMMUNITY COLLEGE,UNKNOWN
IMMOKALEE TECHNICAL COLLEGE,UNKNOWN
LORENZO WALKER TECHNICAL COLLEGE,UNKNOWN
N/A,UNKNOWN
PALM BEACH ATLANTIC UNIVERSITY,UNKNOWN
UNIVERSITY OF MIAMI/KEY BISCAYNE,UNKNOWN
UNIVERSITY OF SOUTH FLORIDA- TAMPA,UNKNOWN
UNIVERSITY OF ST AUGUSTINE,UNKNOWN
STETSON UNIVERISTY,VOLUSIA
HIGH SPRINGS COMMUNITY SCHOOL,ALACHUA
JOSEPH WILLIAMS ELEMENTARY SCHOOL,ALACHUA
MEADOWBROOK ELEMENTARY SCHOOL,ALACHUA
PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,ALACHUA
Z.L. SUNG S.D.A. SCHOOL,ALACHUA
ROSENWALD HIGH SCHOOL,BAY
THEODORE ROOSEVELT ELEMENTARY SCHOOL,BREVARD
A E F SCHOOLS ALTERNATIVE EDU. FOUNDATION,BROWARD
ABUNDANT LIFE CHRISTIAN ACADEMY,BROWARD
ATLANTIC WEST ELEMENTARY SCHOOL,BROWARD
ATLANTIS ACADEMY,BROWARD
BAUDHUIN ORAL SCHOOL-NOVA UNIVERSITY,BROWARD
CENTRAL CHARTER SCHOOL,BROWARD
CHILDREN IN THE SPIRIT CHRISTIAN SCHOOL,BROWARD
CHRISTIAN LIFE ACADEMY,BROWARD
CORAL GLADES HIGH SCHOOL,BROWARD
CORAL PARK ELEMENTARY SCHOOL,BROWARD
DAVID POSNACK SCHOOL IN DAVIE,BROWARD
GULFSTREAM ACADEMY OF HALLANDALE BEACH,BROWARD
HOLLYWOOD HILLS HIGH SCHOOL,BROWARD
HOME SCHOOL CO-OP,BROWARD
KNOW IT ALL PREPARATORY SCHOOL,BROWARD
LITTLE FLOWER SCHOOL,BROWARD
MARGATE MIDDLE SCHOOL,BROWARD
MCNICOL MIDDLE SCHOOL,BROWARD
NORTH BROWARD ACADEMY OF EXCELLENCE MIDDLE,BROWARD
ORANGE BROOK ELEMENTARY SCHOOL,BROWARD
PARKWAY MIDDLE SCHOOL,BROWARD
PEMBROKE LAKES ELEMENTARY SCHOOL,BROWARD
PEMBROKE PINES CHARTER ELEMENTARY SCHOOL,BROWARD
PINE RIDGE ALTERNATIVE CENTER,BROWARD
PLANTATION ELEMENTARY SCHOOL,BROWARD
PLANTATION MIDDLE SCHOOL,BROWARD
PUFFIN LEARNING ACADEMY,BROWARD
SAINT BARTHOLOMEW SCHOOL,BROWARD
SAINT COLEMAN SCHOOL,BROWARD
SEA CASTLE ELEMENTARY SCHOOL,BROWARD
SOMERSET ACADEMY ELEMENTARY SOUTH CAMPUS,BROWARD
SOMERSET ACADEMY KEY CHARTER HIGH SCHOOL,BROWARD
SOUTH BROWARD MONTESSORI CHARTER SCHOOL,BROWARD
SUMMIT-QUESTA MONTESSORI SCHOOL,BROWARD
SUNSET LAKES ELEMENTARY SCHOOL,BROWARD
SUNSHINE ELEMENTARY SCHOOL,BROWARD
TEMPLE DOR DORIM EARLY CHILDHOOD CENTER,BROWARD
WEST PARK PREPARATORY SCHOOL,BROWARD
LECANTO PRIMARY SCHOOL,CITRUS
ROCK CRUSHER ELEMENTARY SCHOOL,CITRUS
NEW BEGINNINGS IMMOKALEE,COLLIER
CAMBRIDGE PREP ACADEMY INC.,COLUMBIA
ALL STARS EDUCATION ACADEMY,MIAMI-DADE
ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS,MIAMI-DADE
APPLE LEARNING CENTER,MIAMI-DADE
ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS,MIAMI-DADE
AVENTURA CITY OF EXCELLENCE SCHOOL,MIAMI-DADE
BENJAMIN FRANKLIN K-8 CENTER,MIAMI-DADE
BLUE LAKES ELEMENTARY SCHOOL,MIAMI-DADE
CARPE DIEM ACADEMIA LITTLE HAVANA,MIAMI-DADE
CHILDREN'S PARADISE LEARNING CENTER.INC,MIAMI-DADE
CITY OF HIALEAH EDUCATION ACADEMY,MIAMI-DADE
CORAL REEF MONTESSORI ACADEMY CHARTER,MIAMI-DADE
CORAL WAY K-8 CENTER,MIAMI-DADE
DESIGN & ARCHITECTURE SENIOR HIGH,MIAMI-DADE
DOCTORS CHARTER SCHOOL OF MIAMI SHORES,MIAMI-DADE
DR. HENRY W. MACK/WEST LITTLE RIVER K-8 CENTER,MIAMI-DADE
DR. ROLANDO ESPINOSA K-8 CENTER,MIAMI-DADE
FLAMINGO ELEMENTARY SCHOOL,MIAMI-DADE
GATEWAY ENVIRONMENTAL K-8 LEARNING CENTER,MIAMI-DADE
GEORGE T. BAKER AVIATION TECHNICAL COLLEGE,MIAMI-DADE
GEORGE W. CARVER ELEMENTARY SCHOOL,MIAMI-DADE
GREAT HEIGHTS ACADEMY INC.,MIAMI-DADE
GULFSTREAM ELEMENTARY SCHOOL,MIAMI-DADE
HIALEAH ELEMENTARY SCHOOL,MIAMI-DADE
HOWARD DRIVE ELEMENTARY SCHOOL,MIAMI-DADE
I PREPARATORY ACADEMY,MIAMI-DADE
JANE S. ROBERTS K-8 CENTER,MIAMI-DADE
JOE HALL ELEMENTARY SCHOOL,MIAMI-DADE
KELSEY L. PHARR ELEMENTARY SCHOOL,MIAMI-DADE
KENWOOD K-8 CENTER,MIAMI-DADE
LAWTON CHILES MIDDLE SCHOOL,MIAMI-DADE
LEISURE CITY K-8 CENTER,MIAMI-DADE
LINCOLN-MARTI COMMUNITY AGENCY 43,MIAMI-DADE
LORAH PARK ELEMENTARY SCHOOL,MIAMI-DADE
LUDLAM ELEMENTARY SCHOOL,MIAMI-DADE
MATER HIGH SOUTH,MIAMI-DADE
MCGLANNAN SCHOOL,MIAMI-DADE
MIAMI CHRISTIAN,MIAMI-DADE
MIAMI GARDENS ELEMENTARY SCHOOL,MIAMI-DADE
MIAMI NORTHWESTERN SENIOR HIGH,MIAMI-DADE
MONTESSORI CHILDREN'S ACADEMY,MIAMI-DADE
NORTH HIALEAH CHRISTIAN SCHOOL,MIAMI-DADE
OUR LADY OF CHARITY SCHOOL INC,MIAMI-DADE
PAUL LAURENCE DUNBAR K-8 CENTER,MIAMI-DADE
PINE LAKE ELEMENTARY SCHOOL,MIAMI-DADE
PINECREST ACADEMY CHARTER MIDDLE SCHOOL,MIAMI-DADE
PNEUMA CHRISTIAN ACADEMY,MIAMI-DADE
RANSOM EVERGLADE MIDDLE SCHOOL,MIAMI-DADE
RIVIERA MIDDLE SCHOOL,MIAMI-DADE
RUBEN DARIO MIDDLE SCHOOL,MIAMI-DADE
SAINT AGATHA SCHOOL,MIAMI-DADE
SAINT LAWRENCE SCHOOL,MIAMI-DADE
SAINT LOUIS COVENANT SCHOOL,MIAMI-DADE
SAINT THERESA CATHOLIC SCHOOL,MIAMI-DADE
SCOTT LAKE ELEMENTARY SCHOOL,MIAMI-DADE
SLAM ACADEMY HIGH SCHOOL NORTH CAMPUS,MIAMI-DADE
SNAPPER CREEK ELEMENTARY SCHOOL,MIAMI-DADE
SOMERSET ACADEMY CHARTER ELEMENTARY SCHOOL (SOUTH HOMESTEAD) (HOMESTEAD,MIAMI-DADE
SOMERSET GABLES ACADEMY,MIAMI-DADE
SOUTHWOOD MIDDLE SCHOOL,MIAMI-DADE
UNIQUE KIDS PREPARATORY SCHOOL INC.,MIAMI-DADE
VANGUARD SCHOOL OF COCONUT GROVE FLA.,MIAMI-DADE
VILLA PREPARATORY ACADEMY 2,MIAMI-DADE
VILLA PREPATORY ACADEMY CORP,MIAMI-DADE
ARLINGTON MIDDLE SCHOOL,DUVAL
BROACH SCHOOL - SOUTHSIDE,DUVAL
BROOKVIEW ELEMENTARY SCHOOL,DUVAL
CEDAR HILLS BAPTIST CHRISTIAN SCHOOL,DUVAL
CENTRAL RIVERSIDE ELEMENTARY SCHOOL,DUVAL
EMMANUEL COASTAL ACADEMY,DUVAL
ENGLEWOOD ELEMENTARY SCHOOL,DUVAL
ENTERPRISE LEARNING ACADEMY,DUVAL
FISHWEIR ELEMENTARY SCHOOL,DUVAL
JACKSONVILLE SCHOOL FOR AUTISM,DUVAL
JOSEPH FINEGAN ELEMENTARY SCHOOL,DUVAL
JOSHUA CHRISTIAN ACADEMY,DUVAL
KIPP IMPACT K-8,DUVAL
LONG BRANCH ELEMENTARY SCHOOL,DUVAL
LOUIS S. SHEFFIELD ELEMENTARY SCHOOL,DUVAL
LOVE GROVE ELEMENTARY SCHOOL,DUVAL
NORTH SHORE ELEMENTARY,DUVAL
SAN JOSE PRIMARY SCHOOL,DUVAL
WATERLEAF ELEMENTARY,DUVAL
JACQUELINE HARRIS PREPARATORY ACADEMY,ESCAMBIA
SACRED HEART CATHEDRAL SCHOOL,ESCAMBIA
SHERWOOD ELEMENTARY SCHOOL,ESCAMBIA
MATANZA HIGH SCHOOL,FLAGLER
CHOCACHATTI ELEMENTARY SCHOOL,HERNANDO
SUNCOAST ELEMENTARY SCHOOL,HERNANDO
BELL CREEK ACADEMY,HILLSBOROUGH
BELLAMY ELEMENTARY SCHOOL,HILLSBOROUGH
BOWERS-WHITLEY CAREER CENTER,HILLSBOROUGH
DICKENSON ELEMENTARY SCHOOL,HILLSBOROUGH
GIBSONTON ELEMENTARY SCHOOL,HILLSBOROUGH
HILLSBOROUGH BAPTIST SCHOOL,HILLSBOROUGH
KINGSWOOD ELEMENTARY SCHOOL,HILLSBOROUGH
LAKE MAGDALENE CHRISTIAN SCHOOL,HILLSBOROUGH
LAKE MAGDALENE ELEMENTARY SCHOOL,HILLSBOROUGH
LEWIS ELEMENTARY SCHOOL,HILLSBOROUGH
LOCKHART ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH
MEMORIAL MIDDLE SCHOOL,HILLSBOROUGH
SAINT PETER CLAVER,HILLSBOROUGH
SCHWARZKOPF ELEMENTARY SCHOOL,HILLSBOROUGH
SESSUMS ELEMENTARY SCHOOL,HILLSBOROUGH
STOWERS ELEMENTARY SCHOOL,HILLSBOROUGH
TAMPA PALMS ELEMENTARY SCHOOL,HILLSBOROUGH
WILSON MIDDLE SCHOOL,HILLSBOROUGH
SEBASTIAN ELEMENTARY SCHOOL,INDIAN RIVER
GRAND RIDGE SCHOOL,JACKSON
JEFFERSON COUNTY MIDDLE A SOMERSET CHARTER SCHOOL,JEFFERSON
LAKE DISTRICT OFFICE,LAKE
MINNEOLA CHARTER SCHOOL,LAKE
THE DREAM ACADEMY INC,LAKE
THE KEY TO LEARNING,LAKE
CAPE CORAL TECHNICAL COLLEGE,LEE
CITY OF PALMS CHARTER HIGH SCHOOL,LEE
FORT MYERS CHRISTIAN SCHOOL,LEE
HANCOCK CREEK ELEMENTARY SCHOOL,LEE
LEE ADOLESCENT MOTHERS PROGRAM,LEE
THE SANIBEL SCHOOL,LEE
TICE ELEMENTARY SCHOOL,LEE
TRAFALGAR ELEMENTARY SCHOOL,LEE
SABAL PALM ELEMENTARY SCHOOL,LEON
CREEKSIDE CHRISTIAN SCHOOL,LEVY
PINETTA ELEMENTARY SCHOOL,MADISON
BALLARD ELEMENTARY SCHOOL,MANATEE
BRADEN RIVER ELEMENTARY SCHOOL,MANATEE
MANATEE CHARTER SCHOOL,MANATEE
MEADOWBROOK ACADEMY INC.,MARION
OCALA PREPARATORY ACADEMY,MARION
OCALI CHARTER MIDDLE SCHOOL,MARION
SPARR ELEMENTARY SCHOOL,MARION
JENSEN BEACH ELEMENTARY SCHOOL,MARTIN
PINEWOOD ELEMENTARY SCHOOL,MARTIN
PORT SALERNO ELEMENTARY SCHOOL,MARTIN
SPECTRUM ACADEMY,MARTIN
THE PINE SCHOOL,MARTIN
COLLEGIATE HIGH SCHOOL AT NORTHWEST FLORIDA STATE COLLEGE,OKALOOSA
CONWAY MIDDLE,ORANGE
